Source,Target,Type
0,276,no_directed
0,58,no_directed
0,132,no_directed
0,603,no_directed
0,398,no_directed
0,555,no_directed
1,265,no_directed
1,611,no_directed
2,265,no_directed
2,182,no_directed
2,345,no_directed
3,608,no_directed
3,377,no_directed
3,40,no_directed
3,352,no_directed
3,450,no_directed
3,484,no_directed
3,299,no_directed
3,65,no_directed
3,185,no_directed
3,228,no_directed
557,227,no_directed
557,182,no_directed
557,90,no_directed
557,151,no_directed
557,394,no_directed
4,265,no_directed
4,287,no_directed
4,254,no_directed
4,336,no_directed
5,503,no_directed
6,429,no_directed
6,163,no_directed
6,486,no_directed
6,478,no_directed
6,518,no_directed
7,293,no_directed
7,265,no_directed
7,305,no_directed
7,339,no_directed
7,35,no_directed
7,444,no_directed
7,583,no_directed
8,278,no_directed
8,434,no_directed
8,73,no_directed
8,98,no_directed
8,369,no_directed
9,317,no_directed
9,288,no_directed
9,206,no_directed
9,289,no_directed
9,249,no_directed
9,593,no_directed
9,434,no_directed
9,254,no_directed
9,550,no_directed
9,131,no_directed
9,446,no_directed
9,89,no_directed
9,90,no_directed
9,265,no_directed
9,15,no_directed
9,340,no_directed
9,248,no_directed
9,229,no_directed
9,56,no_directed
9,570,no_directed
9,189,no_directed
9,611,no_directed
9,107,no_directed
9,23,no_directed
9,465,no_directed
9,67,no_directed
9,351,no_directed
9,498,no_directed
10,393,no_directed
10,258,no_directed
11,212,no_directed
11,485,no_directed
11,264,no_directed
11,380,no_directed
11,174,no_directed
11,259,no_directed
12,548,no_directed
12,618,no_directed
12,310,no_directed
13,352,no_directed
14,264,no_directed
14,326,no_directed
15,265,no_directed
15,70,no_directed
15,340,no_directed
15,67,no_directed
15,454,no_directed
15,505,no_directed
15,43,no_directed
15,432,no_directed
15,56,no_directed
16,516,no_directed
16,119,no_directed
16,400,no_directed
16,545,no_directed
16,334,no_directed
16,237,no_directed
16,374,no_directed
16,117,no_directed
16,274,no_directed
16,613,no_directed
16,466,no_directed
16,75,no_directed
17,185,no_directed
17,608,no_directed
17,450,no_directed
17,299,no_directed
17,65,no_directed
18,265,no_directed
408,265,no_directed
408,418,no_directed
408,581,no_directed
408,143,no_directed
408,599,no_directed
20,324,no_directed
20,355,no_directed
20,481,no_directed
20,238,no_directed
20,242,no_directed
20,160,no_directed
21,516,no_directed
21,441,no_directed
21,329,no_directed
21,334,no_directed
22,270,no_directed
22,187,no_directed
22,104,no_directed
22,22,no_directed
22,420,no_directed
23,434,no_directed
23,58,no_directed
23,128,no_directed
23,257,no_directed
23,288,no_directed
23,277,no_directed
23,182,no_directed
23,340,no_directed
23,157,no_directed
23,227,no_directed
23,343,no_directed
23,54,no_directed
23,67,no_directed
24,547,no_directed
24,230,no_directed
24,502,no_directed
24,306,no_directed
24,501,no_directed
24,591,no_directed
25,363,no_directed
26,230,no_directed
27,424,no_directed
28,147,no_directed
28,230,no_directed
28,527,no_directed
29,49,no_directed
30,126,no_directed
31,285,no_directed
31,424,no_directed
31,543,no_directed
31,357,no_directed
31,507,no_directed
31,508,no_directed
31,491,no_directed
31,169,no_directed
31,595,no_directed
31,41,no_directed
31,63,no_directed
31,327,no_directed
31,266,no_directed
31,48,no_directed
31,179,no_directed
31,546,no_directed
31,518,no_directed
31,142,no_directed
31,449,no_directed
31,269,no_directed
31,524,no_directed
31,488,no_directed
31,515,no_directed
31,193,no_directed
31,315,no_directed
32,89,no_directed
32,265,no_directed
32,183,no_directed
32,611,no_directed
32,364,no_directed
32,581,no_directed
32,159,no_directed
32,300,no_directed
357,543,no_directed
357,504,no_directed
357,118,no_directed
357,430,no_directed
357,524,no_directed
357,508,no_directed
357,164,no_directed
357,165,no_directed
357,127,no_directed
357,395,no_directed
357,596,no_directed
357,79,no_directed
357,515,no_directed
357,48,no_directed
357,448,no_directed
357,179,no_directed
357,518,no_directed
357,335,no_directed
357,307,no_directed
357,491,no_directed
357,572,no_directed
357,313,no_directed
357,63,no_directed
357,45,no_directed
357,532,no_directed
526,552,no_directed
526,70,no_directed
526,517,no_directed
526,181,no_directed
526,558,no_directed
526,519,no_directed
526,352,no_directed
526,462,no_directed
526,224,no_directed
526,235,no_directed
526,536,no_directed
526,403,no_directed
526,363,no_directed
526,195,no_directed
526,388,no_directed
526,498,no_directed
526,87,no_directed
517,181,no_directed
517,403,no_directed
517,224,no_directed
517,235,no_directed
34,89,no_directed
34,419,no_directed
34,254,no_directed
34,265,no_directed
34,373,no_directed
34,208,no_directed
35,536,no_directed
35,383,no_directed
35,289,no_directed
35,389,no_directed
35,131,no_directed
35,597,no_directed
35,338,no_directed
35,87,no_directed
35,89,no_directed
35,90,no_directed
35,265,no_directed
35,601,no_directed
35,56,no_directed
35,58,no_directed
35,611,no_directed
35,439,no_directed
35,615,no_directed
35,195,no_directed
35,198,no_directed
35,618,no_directed
35,243,no_directed
36,490,no_directed
37,389,no_directed
38,518,no_directed
411,449,no_directed
40,344,no_directed
40,333,no_directed
40,352,no_directed
40,538,no_directed
40,484,no_directed
40,240,no_directed
41,434,no_directed
41,265,no_directed
41,594,no_directed
41,397,no_directed
41,62,no_directed
41,465,no_directed
41,193,no_directed
41,109,no_directed
41,611,no_directed
41,321,no_directed
41,121,no_directed
41,282,no_directed
42,467,no_directed
43,253,no_directed
43,102,no_directed
43,265,no_directed
43,360,no_directed
43,577,no_directed
43,39,no_directed
43,340,no_directed
43,229,no_directed
43,83,no_directed
43,505,no_directed
43,67,no_directed
44,265,no_directed
180,496,no_directed
180,331,no_directed
180,209,no_directed
180,520,no_directed
46,417,no_directed
46,550,no_directed
46,86,no_directed
46,317,no_directed
46,578,no_directed
46,110,no_directed
46,67,no_directed
47,475,no_directed
47,500,no_directed
47,508,no_directed
48,518,no_directed
48,524,no_directed
48,164,no_directed
49,293,no_directed
49,512,no_directed
49,71,no_directed
49,196,no_directed
49,188,no_directed
50,544,no_directed
50,70,no_directed
50,171,no_directed
50,483,no_directed
50,131,no_directed
50,289,no_directed
50,182,no_directed
50,340,no_directed
50,183,no_directed
50,562,no_directed
50,578,no_directed
50,389,no_directed
50,67,no_directed
50,330,no_directed
52,113,no_directed
52,494,no_directed
53,122,no_directed
54,265,no_directed
54,275,no_directed
54,89,no_directed
54,536,no_directed
55,210,no_directed
55,158,no_directed
55,154,no_directed
55,437,no_directed
55,252,no_directed
55,78,no_directed
55,452,no_directed
55,214,no_directed
56,68,no_directed
56,383,no_directed
56,116,no_directed
56,70,no_directed
56,597,no_directed
56,505,no_directed
56,389,no_directed
56,479,no_directed
56,359,no_directed
56,128,no_directed
56,439,no_directed
56,130,no_directed
56,131,no_directed
56,217,no_directed
56,338,no_directed
56,584,no_directed
56,87,no_directed
56,89,no_directed
56,90,no_directed
56,265,no_directed
56,601,no_directed
56,182,no_directed
56,340,no_directed
56,375,no_directed
56,603,no_directed
56,229,no_directed
